"ntree" "mtry" "region" "year" "accuracy"
"200" "20" "2" "1985" "0.9401"
"400" "20" "2" "1985" "0.9477"
"800" "20" "2" "1985" "0.9352"
"100" "40" "2" "1985" "0.9408"
"200" "40" "2" "1985" "0.9477"
"400" "40" "2" "1985" "0.9493"
"800" "40" "2" "1985" "0.9481"
"100" "5" "2" "1986" "0.9213"
"200" "5" "2" "1986" "0.9259"
"400" "5" "2" "1986" "0.9182"
"800" "5" "2" "1986" "0.9228"
"100" "10" "2" "1986" "0.9262"
"200" "10" "2" "1986" "0.9386"
"400" "10" "2" "1986" "0.925"
"800" "10" "2" "1986" "0.9307"
"100" "20" "2" "1986" "0.9335"
"200" "20" "2" "1986" "0.9405"
"400" "20" "2" "1986" "0.9372"
"800" "20" "2" "1986" "0.9415"
"100" "40" "2" "1986" "0.9438"
"200" "40" "2" "1986" "0.9373"
"400" "40" "2" "1986" "0.9455"
"800" "40" "2" "1986" "0.9482"
"100" "5" "2" "1987" "0.9411"
"200" "5" "2" "1987" "0.9279"
"400" "5" "2" "1987" "0.935"
"800" "5" "2" "1987" "0.9317"
"100" "10" "2" "1987" "0.9413"
"200" "10" "2" "1987" "0.9389"
"400" "10" "2" "1987" "0.9472"
"800" "10" "2" "1987" "0.9393"
"100" "20" "2" "1987" "0.9384"
"200" "20" "2" "1987" "0.9465"
"400" "20" "2" "1987" "0.9442"
"800" "20" "2" "1987" "0.9416"
"100" "40" "2" "1987" "0.9479"
"200" "40" "2" "1987" "0.9464"
"400" "40" "2" "1987" "0.9483"
"800" "40" "2" "1987" "0.9524"
"100" "5" "2" "1988" "0.9363"
"200" "5" "2" "1988" "0.9399"
"400" "5" "2" "1988" "0.9315"
"800" "5" "2" "1988" "0.9349"
"100" "10" "2" "1988" "0.9396"
"200" "10" "2" "1988" "0.941"
"400" "10" "2" "1988" "0.9375"
"800" "10" "2" "1988" "0.9397"
"100" "20" "2" "1988" "0.9419"
"200" "20" "2" "1988" "0.9484"
"400" "20" "2" "1988" "0.9419"
"800" "20" "2" "1988" "0.9442"
"100" "40" "2" "1988" "0.945"
"200" "40" "2" "1988" "0.9466"
"400" "40" "2" "1988" "0.9511"
"800" "40" "2" "1988" "0.9347"
"100" "5" "2" "1989" "0.9305"
"200" "5" "2" "1989" "0.9319"
"400" "5" "2" "1989" "0.9349"
"800" "5" "2" "1989" "0.9307"
"100" "10" "2" "1989" "0.9314"
"200" "10" "2" "1989" "0.9331"
"400" "10" "2" "1989" "0.9343"
